2025-10-08 17:56:17,591 - INFO - [Thread-MainThread] - Logging system initialized
2025-10-08 17:56:54,044 - INFO - [Thread-MainThread] - Parsing log file: d:\PythonScripts\GitTools\Tools\git_chunks.log
2025-10-08 17:56:54,069 - INFO - [Thread-MainThread] - Found 1236 chunks to process
2025-10-08 17:56:54,069 - INFO - [Thread-MainThread] - Starting to process 1236 chunks with 20 threads...
2025-10-08 17:56:54,069 - INFO - [Thread-MainThread] - Found 1236 unprocessed chunks
2025-10-08 17:56:54,070 - INFO - [Thread-ThreadPoolExecutor-0_0] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,071 - INFO - [Thread-ThreadPoolExecutor-0_0] - 
Processing Chunk #1 (226 files, 24.82MB)
2025-10-08 17:56:54,129 - INFO - [Thread-ThreadPoolExecutor-0_1] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,130 - INFO - [Thread-ThreadPoolExecutor-0_1] - 
Processing Chunk #2 (128 files, 24.93MB)
2025-10-08 17:56:54,130 - INFO - [Thread-ThreadPoolExecutor-0_2] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,130 - INFO - [Thread-ThreadPoolExecutor-0_2] - 
Processing Chunk #3 (164 files, 24.93MB)
2025-10-08 17:56:54,130 - INFO - [Thread-ThreadPoolExecutor-0_3] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,131 - INFO - [Thread-ThreadPoolExecutor-0_3] - 
Processing Chunk #4 (74 files, 24.85MB)
2025-10-08 17:56:54,131 - INFO - [Thread-ThreadPoolExecutor-0_4] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,131 - INFO - [Thread-ThreadPoolExecutor-0_4] - 
Processing Chunk #5 (150 files, 24.93MB)
2025-10-08 17:56:54,131 - INFO - [Thread-ThreadPoolExecutor-0_5] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,132 - INFO - [Thread-ThreadPoolExecutor-0_5] - 
Processing Chunk #6 (61 files, 24.39MB)
2025-10-08 17:56:54,132 - INFO - [Thread-ThreadPoolExecutor-0_6] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,132 - INFO - [Thread-ThreadPoolExecutor-0_6] - 
Processing Chunk #7 (91 files, 24.48MB)
2025-10-08 17:56:54,133 - INFO - [Thread-ThreadPoolExecutor-0_7] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,133 - INFO - [Thread-ThreadPoolExecutor-0_7] - 
Processing Chunk #8 (134 files, 23.75MB)
2025-10-08 17:56:54,133 - INFO - [Thread-ThreadPoolExecutor-0_8] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,133 - INFO - [Thread-ThreadPoolExecutor-0_8] - 
Processing Chunk #9 (22 files, 23.03MB)
2025-10-08 17:56:54,133 - INFO - [Thread-ThreadPoolExecutor-0_9] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_9] - 
Processing Chunk #10 (18 files, 24.54MB)
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_10] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_10] - 
Processing Chunk #11 (116 files, 25.0MB)
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_11] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_11] - 
Processing Chunk #12 (74 files, 24.98MB)
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_12] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_12] - 
Processing Chunk #13 (21 files, 24.54MB)
2025-10-08 17:56:54,134 - INFO - [Thread-ThreadPoolExecutor-0_13] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,136 - INFO - [Thread-ThreadPoolExecutor-0_13] - 
Processing Chunk #14 (151 files, 24.97MB)
2025-10-08 17:56:54,136 - INFO - [Thread-ThreadPoolExecutor-0_14] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,136 - INFO - [Thread-ThreadPoolExecutor-0_14] - 
Processing Chunk #15 (70 files, 24.76MB)
2025-10-08 17:56:54,136 - INFO - [Thread-ThreadPoolExecutor-0_15] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,137 - INFO - [Thread-ThreadPoolExecutor-0_15] - 
Processing Chunk #16 (48 files, 24.71MB)
2025-10-08 17:56:54,137 - INFO - [Thread-ThreadPoolExecutor-0_16] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,137 - INFO - [Thread-ThreadPoolExecutor-0_16] - 
Processing Chunk #17 (36 files, 23.24MB)
2025-10-08 17:56:54,138 - INFO - [Thread-ThreadPoolExecutor-0_17] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,138 - INFO - [Thread-ThreadPoolExecutor-0_17] - 
Processing Chunk #18 (28 files, 24.18MB)
2025-10-08 17:56:54,138 - INFO - [Thread-ThreadPoolExecutor-0_18] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,139 - INFO - [Thread-ThreadPoolExecutor-0_18] - 
Processing Chunk #19 (60 files, 11.9MB)
2025-10-08 17:56:54,139 - INFO - [Thread-ThreadPoolExecutor-0_19] - ____________________________________________________________________________________________________________
2025-10-08 17:56:54,141 - INFO - [Thread-ThreadPoolExecutor-0_19] - 
Processing Chunk #20 (1 files, 19.12MB)
2025-10-08 17:56:55,397 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Base_Classes\BP_NPC_FlyingWalking_Bird_Base.uasset
2025-10-08 17:56:55,397 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Materials\M_ky_wind04.uasset
2025-10-08 17:56:55,397 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Base_Classes\BP_NPC_PerchingFlying_Bird_Base.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Materials\M_ky_wind05.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Base_Classes\BP_PlayAs_Bird_Base.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Materials\M_ky_wind06.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Crows\BP_Crow_AirToGround.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Materials\M_mesh_decoSW.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Crows\BP_Crow_GroundToAir.uasset
2025-10-08 17:56:55,398 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_auraHousya.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Crows\BP_Crow_PerchToSky.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_circle_inv_lowpoly.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Crows\BP_Crow_StayInAir.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_cylinderBend03.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Crows\BP_Crow_StayOnGround.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_cylinder_harf01.uasset
2025-10-08 17:56:55,399 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Crows\BP_PlayAs_Crow.uasset
2025-10-08 17:56:55,400 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_cylinder_harf02.uasset
2025-10-08 17:56:55,400 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\GameModes\BP_PlayAsSeagull_GameMode.uasset
2025-10-08 17:56:55,400 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_cylinder_superLow_inv.uasset
2025-10-08 17:56:55,400 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\GameModes\BP_ThirdPerson_GameMode.uasset
2025-10-08 17:56:55,400 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_doomBvert2Inv.uasset
2025-10-08 17:56:55,400 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Seagull\BP_PlayAs_Seagull.uasset
2025-10-08 17:56:55,401 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_piece.uasset
2025-10-08 17:56:55,401 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Seagull\BP_Seagull_AirToGround.uasset
